pass,inversions,displacement
0,3434,4648
1,3318,4530
2,3204,4414
3,3098,4300
4,3001,4188
5,2905,4078
6,2812,3968
7,2723,3860
8,2640,3756
9,2559,3652
10,2480,3550
11,2401,3452
12,2323,3358
13,2247,3266
14,2175,3176
15,2104,3086
16,2035,2998
17,1969,2910
18,1905,2824
19,1843,2738
20,1782,2656
21,1721,2578
22,1662,2500
23,1606,2422
24,1550,2344
25,1494,2270
26,1439,2196
27,1384,2126
28,1331,2056
29,1280,1988
30,1229,1920
31,1180,1852
32,1135,1786
33,1091,1722
34,1048,1660
35,1006,1600
36,967,1542
37,928,1488
38,891,1434
39,855,1382
40,819,1330
41,784,1280
42,749,1232
43,714,1184
44,680,1138
45,649,1094
46,619,1050
47,590,1006
48,563,964
49,538,924
50,513,888
51,489,854
52,466,820
53,444,786
54,422,752
55,401,720
56,382,688
57,363,658
58,346,628
59,330,600
60,315,572
61,300,544
62,286,516
63,272,488
64,258,462
65,244,436
66,230,410
67,217,386
68,204,362
69,191,340
70,178,320
71,166,304
72,156,288
73,146,272
74,137,256
75,128,240
76,119,224
77,111,210
78,103,196
79,95,182
80,87,168
81,80,154
82,73,140
83,66,126
84,61,118
85,57,110
86,53,102
87,49,94
88,45,86
89,41,78
90,37,70
91,33,62
92,29,54
93,25,46
94,21,38
95,17,32
96,13,26
97,10,20
98,7,14
99,5,10
100,3,6
101,1,2
102,0,0
103,0,0
