comparisons,inversions,displacement
0,3434,4648
84,2510,3356
101,2480,3306
112,2421,3236
114,2419,3232
117,2419,3232
117,2418,3230
117,2417,3228
126,2400,3202
132,2397,3196
135,2391,3186
138,2388,3182
138,2384,3176
138,2383,3174
139,2383,3174
140,2383,3174
143,2377,3166
144,2376,3164
145,2376,3164
147,2375,3162
148,2374,3160
148,2373,3158
148,2369,3152
148,2368,3150
149,2368,3150
224,1856,2502
232,1853,2496
237,1847,2486
239,1839,2476
241,1839,2476
242,1838,2474
243,1838,2474
244,1837,2472
245,1837,2472
300,1094,1498
311,1056,1444
315,1055,1442
315,1054,1440
316,1051,1436
316,1050,1434
327,1049,1432
331,1019,1392
335,1018,1390
335,1017,1388
336,1012,1382
337,1012,1382
339,1006,1374
340,1005,1372
340,1004,1370
342,1004,1370
400,890,1208
455,779,1058
480,403,556
496,379,526
508,350,490
515,346,482
516,333,466
518,332,464
519,331,462
519,330,460
520,329,458
521,329,458
523,328,456
524,327,454
524,326,452
529,325,448
529,324,446
532,321,442
532,317,436
532,316,434
533,316,434
533,315,432
552,150,224
569,136,206
570,135,204
571,135,204
585,123,182
587,120,178
588,120,178
589,120,178
592,95,142
595,89,134
596,88,132
597,88,132
599,87,130
599,84,126
603,81,120
605,78,116
606,78,116
606,77,114
620,70,100
627,34,52
630,33,50
631,33,50
632,32,48
633,32,48
637,17,28
638,16,26
639,16,26
644,13,22
644,12,20
647,11,18
649,10,16
650,10,16
650,9,14
651,6,10
651,5,8
654,2,4
656,1,2
657,0,0
658,0,0
