n,recurrence,sin
0,0.000000000,0.000000000
1,0.195090322,0.195090322
2,0.382683432,0.382683432
3,0.555570233,0.555570233
4,0.707106781,0.707106781
5,0.831469612,0.831469612
6,0.923879532,0.923879532
7,0.980785280,0.980785280
8,0.999999999,1.000000000
9,0.980785280,0.980785280
10,0.923879532,0.923879532
11,0.831469612,0.831469612
12,0.707106781,0.707106781
13,0.555570233,0.555570233
14,0.382683432,0.382683432
15,0.195090322,0.195090322
16,-0.000000000,0.000000000
17,-0.195090322,-0.195090322
18,-0.382683432,-0.382683432
19,-0.555570233,-0.555570233
20,-0.707106781,-0.707106781
21,-0.831469612,-0.831469612
22,-0.923879532,-0.923879532
23,-0.980785280,-0.980785280
24,-0.999999999,-1.000000000
25,-0.980785280,-0.980785280
26,-0.923879532,-0.923879532
27,-0.831469612,-0.831469612
28,-0.707106781,-0.707106781
29,-0.555570233,-0.555570233
30,-0.382683432,-0.382683432
31,-0.195090322,-0.195090322
32,0.000000000,-0.000000000
33,0.195090322,0.195090322
34,0.382683432,0.382683432
35,0.555570233,0.555570233
36,0.707106781,0.707106781
37,0.831469612,0.831469612
38,0.923879532,0.923879532
39,0.980785280,0.980785280
40,0.999999999,1.000000000
41,0.980785280,0.980785280
42,0.923879532,0.923879532
43,0.831469612,0.831469612
44,0.707106781,0.707106781
45,0.555570233,0.555570233
46,0.382683432,0.382683432
47,0.195090322,0.195090322
48,-0.000000000,0.000000000
49,-0.195090322,-0.195090322
50,-0.382683432,-0.382683432
51,-0.555570233,-0.555570233
52,-0.707106781,-0.707106781
53,-0.831469612,-0.831469612
54,-0.923879532,-0.923879532
55,-0.980785280,-0.980785280
56,-0.999999999,-1.000000000
57,-0.980785280,-0.980785280
58,-0.923879532,-0.923879532
59,-0.831469612,-0.831469612
60,-0.707106781,-0.707106781
61,-0.555570233,-0.555570233
62,-0.382683432,-0.382683432
63,-0.195090322,-0.195090322
64,0.000000000,-0.000000000
65,0.195090322,0.195090322
66,0.382683432,0.382683432
67,0.555570233,0.555570233
68,0.707106781,0.707106781
69,0.831469612,0.831469612
70,0.923879532,0.923879532
71,0.980785280,0.980785280
72,0.999999999,1.000000000
73,0.980785280,0.980785280
74,0.923879532,0.923879532
75,0.831469612,0.831469612
76,0.707106781,0.707106781
77,0.555570233,0.555570233
78,0.382683432,0.382683432
79,0.195090322,0.195090322
80,-0.000000000,0.000000000
81,-0.195090322,-0.195090322
82,-0.382683432,-0.382683432
83,-0.555570233,-0.555570233
84,-0.707106781,-0.707106781
85,-0.831469612,-0.831469612
86,-0.923879532,-0.923879532
87,-0.980785280,-0.980785280
88,-0.999999999,-1.000000000
89,-0.980785280,-0.980785280
90,-0.923879532,-0.923879532
91,-0.831469612,-0.831469612
92,-0.707106781,-0.707106781
93,-0.555570233,-0.555570233
94,-0.382683432,-0.382683432
95,-0.195090322,-0.195090322
96,0.000000000,-0.000000000
97,0.195090322,0.195090322
98,0.382683432,0.382683432
99,0.555570233,0.555570233
100,0.707106781,0.707106781
101,0.831469612,0.831469612
102,0.923879532,0.923879532
103,0.980785280,0.980785280
104,0.999999999,1.000000000
105,0.980785280,0.980785280
106,0.923879532,0.923879532
107,0.831469612,0.831469612
108,0.707106781,0.707106781
109,0.555570233,0.555570233
110,0.382683432,0.382683432
111,0.195090322,0.195090322
112,-0.000000000,0.000000000
113,-0.195090322,-0.195090322
114,-0.382683432,-0.382683432
115,-0.555570233,-0.555570233
116,-0.707106781,-0.707106781
117,-0.831469612,-0.831469612
118,-0.923879532,-0.923879532
119,-0.980785280,-0.980785280
120,-0.999999999,-1.000000000
121,-0.980785280,-0.980785280
122,-0.923879532,-0.923879532
123,-0.831469612,-0.831469612
124,-0.707106781,-0.707106781
125,-0.555570233,-0.555570233
126,-0.382683432,-0.382683432
127,-0.195090322,-0.195090322
128,0.000000000,-0.000000000
129,0.195090322,0.195090322
130,0.382683432,0.382683432
131,0.555570233,0.555570233
132,0.707106781,0.707106781
133,0.831469612,0.831469612
134,0.923879532,0.923879532
135,0.980785280,0.980785280
136,0.999999999,1.000000000
137,0.980785280,0.980785280
138,0.923879532,0.923879532
139,0.831469612,0.831469612
140,0.707106781,0.707106781
141,0.555570233,0.555570233
142,0.382683432,0.382683432
143,0.195090322,0.195090322
144,-0.000000000,0.000000000
145,-0.195090322,-0.195090322
146,-0.382683432,-0.382683432
147,-0.555570233,-0.555570233
148,-0.707106781,-0.707106781
149,-0.831469612,-0.831469612
150,-0.923879532,-0.923879532
151,-0.980785280,-0.980785280
